cid,deck,pick,symbol,date,market,tag,repeat_of
A041,A,56,BLNK,2021-05-20,US,core · 3★,
A042,A,46,GTLB,2022-06-21,US,core · 3★,
A043,A,57,MKSI,2022-12-09,US,core · 3★,
A044,A,103,SPCE,2021-07-30,US,core · 5★,
A045,A,21,CNQ,2019-09-24,US,core · 2★,
A046,A,47,SPT,2022-03-29,US,core · 3★,
A047,A,1,ATKR,2023-02-10,US,core · 2★,
A048,A,63,GRWG,2021-02-19,US,core · 4★,
A049,A,6,ABR,2023-05-12,US,core · 2★,
A050,A,108,CODX,2020-05-29,US,core · 5★,
A051,A,34,LXRX,2021-01-28,US,core · 3★,
A052,A,101,NNVC,2020-02-11,US,core · 5★,
A053,A,72,SEDG,2020-05-26,US,core · 4★,
A054,A,109,TH,2022-08-03,US,core · 5★,
A055,A,53,RNG,2019-11-13,US,core · 3★,
A056,A,40,TSLA,2021-01-14,US,core · 3★,
A057,A,99,APPN,2021-07-13,US,core · 5★,
A058,A,104,DJT,2022-05-23,US,core · 5★,
A059,A,27,DV,2023-03-30,US,core · 2★,
A060,A,51,GRWG,2020-09-28,US,core · 3★,
A061,A,95,AR,2020-12-31,US,core · 5★,
A062,A,76,ROKU,2019-03-18,US,core · 4★,
A063,A,25,IBIO,2020-08-19,US,core · 2★,
A064,A,90,APT,2020-07-02,US,core · 5★,
A065,A,71,FND,2019-09-16,US,core · 4★,
A066,A,82,HAL,2020-05-26,US,core · 4★,
A067,A,22,SPT,2021-09-01,US,core · 2★,
A068,A,36,CHTR,2020-02-06,US,core · 3★,
A069,A,15,TMUS,2022-09-20,US,core · 2★,
A070,A,29,BLNK,2020-09-01,US,core · 2★,
A071,A,115,KOSS,2021-06-24,US,core · 5★,
A072,A,10,CASY,2019-09-19,US,core · 2★,
A073,A,83,HAL,2023-01-30,US,core · 4★,
A074,A,68,FEED,2021-08-06,US,core · 4★,
A075,A,32,PHM,2019-05-24,US,core · 3★,
A076,A,70,HRI,2021-09-07,US,core · 4★,
A077,A,77,EBS,2020-04-02,US,core · 4★,
A078,A,59,META,2021-04-13,US,core · 3★,
A079,A,117,SLAB,2022-11-28,US,core · 5★,
A080,A,118,NOG,2022-04-11,US,core · 5★,
A081,A,86,ETSY,2019-02-20,US,core · 4★,
A082,A,49,ONON,2023-05-12,US,core · 3★,
A083,A,33,RIVN,2022-11-07,US,core · 3★,
A084,A,60,GKOS,2022-02-04,US,core · 4★,
A085,A,116,ZS,2020-04-07,US,core · 5★,
A086,A,66,IBIO,2020-03-12,US,core · 4★,
A087,A,23,TAK,2019-01-15,US,core · 2★,
A088,A,85,ATI,2022-08-19,US,core · 4★,
A089,A,28,CNQ,2019-09-19,US,core · 2★,
A090,A,31,MRNA,2020-04-28,US,core · 3★,
A091,A,2,MKTX,2019-09-19,US,core · 2★,
A092,A,41,MARA,2020-12-04,US,core · 3★,
A093,A,43,PACB,2023-03-01,US,core · 3★,
A094,A,110,ANVS,2021-08-16,US,core · 5★,
A095,A,93,SSB,2021-10-14,US,core · 5★,
A096,A,11,CAG,2022-07-05,US,core · 2★,
A097,A,89,GNTX,2019-11-21,US,core · 4★,
A098,A,105,NNVC,2020-02-14,US,core · 5★,
A099,A,92,CLSK,2022-04-01,US,core · 5★,
A100,A,9,CI,2019-01-02,US,core · 2★,
A101,A,94,EDIT,2019-12-13,US,core · 5★,
A102,A,75,ZM,2020-11-24,US,core · 4★,
A103,A,111,SNAP,2021-02-19,US,core · 5★,
A104,A,50,CC,2020-08-14,US,core · 3★,
A105,A,62,PACB,2023-05-12,US,core · 4★,
A106,A,35,TNDM,2019-03-08,US,core · 3★,
A107,A,97,TSLA,2020-08-06,US,core · 5★,
A108,A,96,ROKU,2019-06-04,US,core · 5★,
A109,A,39,AMD,2019-04-11,US,core · 3★,
A110,A,80,APT,2020-05-12,US,core · 4★,
A111,A,45,ACAD,2019-01-29,US,core · 3★,
A112,A,119,MRNA,2022-03-31,US,core · 5★,
A113,A,58,NVDA,2021-09-01,US,core · 3★,
A114,A,100,ANVS,2021-08-24,US,core · 5★,
A115,A,30,TPR,2019-09-19,US,core · 3★,
A116,A,20,ACAD,2022-02-14,US,core · 2★,
A117,A,73,GNTX,2019-08-07,US,core · 4★,
A118,A,91,DJT,2022-11-30,US,core · 5★,
A119,A,5,ENPH,2019-06-20,US,core · 2★,
A120,A,74,DAL,2019-04-16,US,core · 4★,
B001,B,158,NFLX,2022-11-01,US,trigger ≥ 2% above close,
B002,B,129,ROG,2021-11-22,US,trigger already breached,
B003,B,124,CRM,2020-09-15,US,trigger already breached,
B004,B,125,ARES,2021-09-23,US,trigger already breached,
B005,B,161,COIN,2022-08-17,US,trigger ≥ 2% above close,
B006,B,274,NET,2021-06-28,US,core · 3★,37.0
B007,B,134,UPWK,2020-07-20,US,trigger already breached,
B008,B,123,KNDI,2020-08-14,US,trigger already breached,
B009,B,266,APPN,2021-07-13,US,core · 5★,99.0
B010,B,145,SLB,2023-02-07,US,trigger already breached,
B011,B,152,AMKR,2023-01-30,US,trigger ≥ 2% above close,
B012,B,144,RRR,2021-06-11,US,trigger already breached,
B013,B,147,DKNG,2020-03-31,US,trigger ≥ 2% above close,
B014,B,167,STEM,2021-03-19,US,trigger ≥ 2% above close,
B015,B,149,HRMY,2022-12-06,US,trigger ≥ 2% above close,
B016,B,148,WMG,2021-01-06,US,trigger ≥ 2% above close,
B017,B,272,ACAD,2019-01-29,US,core · 3★,45.0
B018,B,171,PEN,2023-03-06,US,trigger ≥ 2% above close,
B019,B,264,MKTX,2019-09-19,US,core · 2★,2.0
B020,B,165,HRMY,2022-08-11,US,trigger ≥ 2% above close,
B021,B,138,RARE,2023-03-01,US,trigger already breached,
B022,B,160,TPR,2020-11-12,US,trigger ≥ 2% above close,
B023,B,270,MKSI,2022-12-09,US,core · 3★,57.0
B024,B,131,CMG,2019-02-28,US,trigger already breached,
B025,B,135,AJG,2019-07-09,US,trigger already breached,
B026,B,140,MELI,2020-02-03,US,trigger already breached,
B027,B,139,SNAP,2019-05-21,US,trigger already breached,
B028,B,169,CLSK,2023-05-31,US,trigger ≥ 2% above close,
B029,B,133,ANDE,2022-05-03,US,trigger already breached,
B030,B,128,DASH,2023-03-30,US,trigger already breached,
B031,B,153,STAA,2023-01-30,US,trigger ≥ 2% above close,
B032,B,146,STEM,2021-05-19,US,trigger ≥ 2% above close,
B033,B,120,SPB,2023-05-22,US,trigger already breached,
B034,B,132,JMIA,2020-08-07,US,trigger already breached,
B035,B,150,KPLT,2021-09-16,US,trigger ≥ 2% above close,
B036,B,143,LYV,2021-10-14,US,trigger already breached,
B037,B,136,CRK,2022-05-16,US,trigger already breached,
B038,B,166,KOD,2019-12-23,US,trigger ≥ 2% above close,
B039,B,141,AFRM,2021-08-23,US,trigger already breached,
B040,B,130,HSY,2019-01-10,US,trigger already breached,
B041,B,122,EDIT,2021-09-23,US,trigger already breached,
B042,B,268,GKOS,2022-02-04,US,core · 4★,60.0
B043,B,170,FANG,2022-09-15,US,trigger ≥ 2% above close,
B044,B,159,GOGO,2020-09-10,US,trigger ≥ 2% above close,
B045,B,137,DXC,2022-06-07,US,trigger already breached,
B046,B,121,SPCE,2021-06-17,US,trigger already breached,
B047,B,126,CGNX,2020-04-07,US,trigger already breached,
B048,B,127,SCCO,2023-04-10,US,trigger already breached,
B049,B,168,LXRX,2021-02-10,US,trigger ≥ 2% above close,
B050,B,156,ZM,2020-04-01,US,trigger ≥ 2% above close,
B051,B,142,WKHS,2020-08-24,US,trigger already breached,
B052,B,164,VISN,2019-11-13,US,trigger ≥ 2% above close,
B053,B,155,BAND,2020-05-20,US,trigger ≥ 2% above close,
B054,B,163,CODX,2020-03-04,US,trigger ≥ 2% above close,
B055,B,157,RCON,2021-07-01,US,trigger ≥ 2% above close,
B056,B,154,LEVI,2021-04-29,US,trigger ≥ 2% above close,
B057,B,151,OXY,2021-01-20,US,trigger ≥ 2% above close,
B058,B,162,RIVN,2022-11-07,US,trigger ≥ 2% above close,
C001,C,222,EXCL,2023-11-24,IDX,IDX · no collapsed bars,
C002,C,189,BRMS,2019-09-11,IDX,IDX · partial limit-lock,
C003,C,204,ICBP,2020-12-17,IDX,IDX · no collapsed bars,
C004,C,221,ADRO,2021-08-04,IDX,IDX · no collapsed bars,
C005,C,213,BTPS,2021-05-04,IDX,IDX · no collapsed bars,
C006,C,197,BBHI,2020-09-03,IDX,IDX · partial limit-lock,
C007,C,207,SRTG,2019-12-04,IDX,IDX · no collapsed bars,
C008,C,195,TOBA,2018-12-19,IDX,IDX · partial limit-lock,
C009,C,271,DJT,2022-05-23,US,core · 5★,104.0
C010,C,188,PTPP,2020-05-18,IDX,IDX · partial limit-lock,
C011,C,175,NISP,2018-08-10,IDX,IDX · partial limit-lock,
C012,C,275,AMD,2019-04-16,US,core · 5★,102.0
C013,C,178,MEGA,2022-11-22,IDX,IDX · partial limit-lock,
C014,C,223,PSAB,2024-03-25,IDX,IDX · no collapsed bars,
C015,C,215,BBNI,2018-04-13,IDX,IDX · no collapsed bars,
C016,C,208,ENRG,2019-07-26,IDX,IDX · no collapsed bars,
C017,C,218,UNVR,2023-05-19,IDX,IDX · no collapsed bars,
C018,C,174,PANI,2020-03-03,IDX,IDX · partial limit-lock,
C019,C,181,PANI,2022-05-13,IDX,IDX · partial limit-lock,
C020,C,192,SMDR,2022-07-19,IDX,IDX · partial limit-lock,
C021,C,184,BBYB,2019-03-06,IDX,IDX · partial limit-lock,
C022,C,210,BRMS,2017-09-05,IDX,IDX · no collapsed bars,
C023,C,199,EXCL,2017-05-30,IDX,IDX · no collapsed bars,
C024,C,187,RAJA,2020-05-27,IDX,IDX · partial limit-lock,
C025,C,219,BTPS,2021-04-05,IDX,IDX · no collapsed bars,
C026,C,200,CPIN,2022-06-15,IDX,IDX · no collapsed bars,
C027,C,186,ARTO,2019-12-13,IDX,IDX · partial limit-lock,
C028,C,269,APPS,2023-04-10,US,core · 5★,106.0
C029,C,211,AGRO,2019-09-20,IDX,IDX · no collapsed bars,
C030,C,190,RAJA,2017-09-22,IDX,IDX · partial limit-lock,
C031,C,193,GOTO,2023-07-21,IDX,IDX · partial limit-lock,
C032,C,214,MAPI,2020-10-23,IDX,IDX · no collapsed bars,
C033,C,206,UNTR,2021-03-17,IDX,IDX · no collapsed bars,
C034,C,176,TOBA,2019-08-12,IDX,IDX · partial limit-lock,
C035,C,191,DEWA,2017-06-12,IDX,IDX · partial limit-lock,
C036,C,203,ESSA,2020-07-09,IDX,IDX · no collapsed bars,
C037,C,172,ARTO,2019-02-14,IDX,IDX · partial limit-lock,
C038,C,177,MEGA,2021-02-04,IDX,IDX · partial limit-lock,
C039,C,212,LPPF,2019-05-22,IDX,IDX · no collapsed bars,
C040,C,217,TLKM,2021-12-13,IDX,IDX · no collapsed bars,
C041,C,196,ENRG,2020-10-22,IDX,IDX · partial limit-lock,
C042,C,173,NISP,2018-10-18,IDX,IDX · partial limit-lock,
C043,C,201,PTPP,2017-08-02,IDX,IDX · no collapsed bars,
C044,C,265,DV,2023-03-30,US,core · 2★,27.0
C045,C,273,CC,2020-08-14,US,core · 3★,50.0
C046,C,198,PTBA,2021-08-03,IDX,IDX · no collapsed bars,
C047,C,202,AKRA,2017-09-20,IDX,IDX · no collapsed bars,
C048,C,179,DEWA,2023-03-10,IDX,IDX · partial limit-lock,
C049,C,209,HMSP,2017-11-22,IDX,IDX · no collapsed bars,
C050,C,185,MDKA,2018-07-26,IDX,IDX · partial limit-lock,
C051,C,205,TKIM,2023-11-27,IDX,IDX · no collapsed bars,
C052,C,220,SMGR,2023-08-15,IDX,IDX · no collapsed bars,
C053,C,183,MDKA,2018-07-10,IDX,IDX · partial limit-lock,
C054,C,182,PTBA,2020-08-18,IDX,IDX · partial limit-lock,
C055,C,216,ISAT,2021-04-16,IDX,IDX · no collapsed bars,
C056,C,180,BBYB,2020-11-23,IDX,IDX · partial limit-lock,
C057,C,194,PSAB,2021-03-22,IDX,IDX · partial limit-lock,
C058,C,267,RJF,2022-11-04,US,core · 2★,26.0
D001,D,239,CSL,2022-05-06,US,reject · stop_too_wide,
D002,D,230,DV,2022-10-27,US,reject · no_window,
D003,D,231,WKHS,2020-06-29,US,reject · no_window,
D004,D,252,LOVE,2021-05-25,US,detection,
D005,D,236,FANG,2019-12-23,US,reject · stop_too_wide,
D006,D,262,KOSS,2021-03-12,US,detection,
D007,D,255,IPM,2021-10-11,US,detection,
D008,D,232,PTON,2020-06-02,US,reject · no_window,
D009,D,237,CCJ,2022-03-16,US,reject · stop_too_wide,
D010,D,253,RNG,2019-10-10,US,detection,
D011,D,247,TMUS,2020-04-07,US,detection,
D012,D,234,MTDR,2022-08-19,US,reject · stop_too_wide,
D013,D,248,SSYS,2021-02-16,US,detection,
D014,D,250,COR,2019-07-22,US,detection,
D015,D,228,PEN,2023-03-09,US,reject · no_window,
D016,D,244,UCTT,2021-06-11,US,detection,
D017,D,238,ENPH,2021-07-13,US,reject · stop_too_wide,
D018,D,242,CCJ,2021-06-03,US,reject · stop_too_wide,
D019,D,256,COLD,2019-10-10,US,detection,
D020,D,235,CELH,2021-04-29,US,reject · stop_too_wide,
D021,D,229,BMEA,2023-06-22,US,reject · no_window,
D022,D,251,SCCO,2023-03-27,US,detection,
D023,D,246,KR,2019-10-07,US,detection,
D024,D,261,SPB,2019-03-13,US,detection,
D025,D,260,ALIT,2021-09-16,US,detection,
D026,D,225,CHTR,2019-07-22,US,reject · no_window,
D027,D,249,CASY,2019-09-19,US,detection,
D028,D,245,CC,2020-06-29,US,detection,
D029,D,240,FND,2023-03-30,US,reject · stop_too_wide,
D030,D,243,JMIA,2021-02-08,US,reject · stop_too_wide,
D031,D,241,AGO,2023-01-03,US,reject · stop_too_wide,
D032,D,263,UPST,2021-06-18,US,detection,
D033,D,226,ETSY,2023-01-06,US,reject · no_window,
D034,D,259,LKQ,2019-09-19,US,detection,
D035,D,257,DKS,2019-12-18,US,detection,
D036,D,233,AAPL,2021-12-01,US,reject · no_window,
D037,D,227,AR,2021-11-01,US,reject · no_window,
D038,D,258,META,2022-12-28,US,detection,
D039,D,224,DASH,2021-09-23,US,reject · no_window,
D040,D,254,RJF,2022-11-04,US,detection,
